Acquisitions Fund
From the Collection of James Stillman, Gift of Dr. Ernest G. Stillman
From the Collection of Nina and Gordon Bunshaft, Bequest of Nina Bunshaft
From the Collection of Thomas B. Hess, Gift of the heirs of Thomas B. Hess
From the Lord Astor of Hever Collection, Purchase, The Vincent Astor Foundation Gift
Funds from various donors
George A. Hearn Fund
Gift and Bequest of Alice K. Bache, 1966
Gift and Bequest of Alice K. Bache, 1974
Gift of Abby Aldrich Rockefeller
Gift of Abdo Debbas
Gift of Alastair Bradley Martin
Gift of Alexander Smith Cochran
Gift of Alexandra Auchincloss Herzan from the collection of Lily Auchincloss
Gift of Alice Heeramaneck, in memory of Nasli Heeramaneck
Gift of André and Clara Mertens, in memory of her mother, Jenny Pulitzer Steiner
Gift of Anita E. Spertus and Robert J. Holmgren, in honor of Douglas Newton
Gift of Anthony and Lois Blumka, in memory of Ruth Blumka
Gift of Arthur A. Houghton Jr.
Gift of Arthur G. Altschul
Gift of Arthur M. Sackler, in honor of his parents, Isaac and Sophie Sackler
Gift of Barbara Schiff Sinauer
Gift of Baron Philippe de Rothschild
Gift of Bashford Dean
Gift of Bayard Verplanck
Gift of Bernice Chrysler Garbisch
Gift of C. Ruxton Love Jr.
Gift of Carol R. Meyer
Gift of Catharine E. Cotheal
Gift of Charles Anthony Lamb and Barea Lamb Seeley, in memory of their grandfather, Charles Rollinson Lamb
Gift of Charles F. McKim
Gift of Charles K. and Irma B. Wilkinson
Gift of Charles and Valerie Diker
Gift of Christian Dior Couture Paris
Gift of Christos G. Bastis
Gift of Collis P. Huntington
Gift of Colonel Charles A. Fowler
Gift of Comtesse Thierry de Ganay
Gift of Cornelius Vanderbilt
Gift of Courtlandt Palmer
Gift of David Conant Ford
Gift of Diana Vreeland
Gift of Diane, Daniel, and Mathew Wolf, in memory of Catherine Hoover Voorsanger
Gift of Doris Duke
Gift of Douglas Dillon
Gift of Douglass Campbell, Richard Strachan, and Stephen M. Strachan, in memory of Mrs. Douglass Campbell and Mrs. William Lyman Campbell
Gift of Dr. Irving F. Burton
Gift of Dr. Irwin R. Berman, in memory of his father, Allan Lake Berman
Gift of Dr. Peter Blos
Gift of Dr. Sidney A. Charlat, in memory of his parents, Newman and Adele Charlat
Gift of Dr. and Mrs. Irwin R. Berman
Gift of Dr. and Mrs. Lewis Balamuth
Gift of Dr. and Mrs. Sheldon C. Sommers
Gift of Eddie Kamali
Gift of Edgar William and Bernice Chrysler Garbisch
Gift of Edith and Herbert Lehman Foundation Inc.
Gift of Edward S. Harkness
Gift of Edward S. Hawes, Alice Mary Hawes, and Marion Augusta Hawes
Gift of Egypt Exploration Fund
Gift of Eleanor Lambert
Gift of Eleanor Searle Whitney McCollum
Gift of Elizabeth Fairall
Gift of Elizabeth M. Riley
Gift of Ella Brummer, in memory of her husband, Ernest Brummer
Gift of Emilita Segovia, Marquessa of Salobreña
Gift of Ernest Erickson Foundation
Gift of Erving Wolf Foundation and Mr. and Mrs. Erving Wolf, in memory of Diane R. Wolf
Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf
Gift of Erwin Davis
Gift of Estate of Lady Mendl
Gift of Etsuko O. Morris and John H. Morris Jr., in memory of Dr. Frederick M. Pedersen
Gift of Eva and Michael Chow
Gift of Evelyn A. J. Hall
Gift of Factory Additions
Gift of Faith-dorian and Martin Wright, in honor of Livio Scamperle
Gift of Felix M. Warburg and his family
Gift of Florence J. Gould
Gift of Florene M. Schoenborn
Gift of Francis Hartman Markoe
Gift of Francis P. Garvan
Gift of Fred and Rita Richman
Gift of Frederic H. Hatch
Gift of Frederick W. Hunter
Gift of Friends of the Thomas J. Watson Library
Gift of Friends of the Thomas J. Watson Liibrary
Gift of George A. Hearn
Gift of George A. Hearn, in memory of Arthur Hoppock Hearn
Gift of George Blumenthal
Gift of George D. Pratt
Gift of George Gould
Gift of George I. Seney
Gift of George Lowther
Gift of George and Butonne Repaire
Gift of Georgia O'Keeffe, through the generosity of The Georgia O'Keeffe Foundation and Jennifer and Joseph Duke
Gift of Geraldine C. Herzfeld, in memory of her husband, Monroe Eliot Hemmerdinger
Gift of Gertrud A. Mellon
Gift of Gianni Versace
Gift of Gilman Paper Company, in memory of Samuel J. Wagstaff Jr.
Gift of Gina Gerardo
Gift of Giorgio Armani
Gift of Giulia P. Morosini, in memory of her father, Giovanni P. Morosini
Gift of Grace M. Mayer
Gift of Gucci
Gift of H. O. Havemeyer
Gift of Halston
Gift of Hans P. Kraus Jr. and Mariana Cook, in honor of André and Marie-Thérèse Jammes
Gift of Harriet Barnes Pratt, in memory of her husband, Harold Irving Pratt (February 1, 1877May 21, 1939)
Gift of Harris D. and H. Dunscombe Colt
Gift of Harry Holtzman
Gift of Henry G. Marquand
Gift of Herbert N. Straus
Gift of Herman and Lila Shickman, and Purchase, Lila Acheson Wallace Gift
Gift of Hugo Boss
Gift of Igor Kamlukin
Gift of Irving Drought Harris, in memory of Claire McCardell Harris
Gift of Irwin Untermyer
Gift of J. Pierpont Morgan
Gift of J. Pierpont Morgan, 1917; The Cloisters Collection
Gift of James C. Melvin
Gift of James J. Rorimer in appreciation of Maurice Dimand's curatorship, 19331959
Gift of James R. Creel IV and Mr. and Mrs. Lawrence G. Creel
Gift of Jayne Wrightsman
Gift of Jean Jacques Reubell, in memory of his mother, Julia C. Coster, and of his wife, Adeline E. Post, both of New York City
Gift of John D. Rockefeller Jr.
Gift of John Goldsmith Phillips
Gift of John M. Crawford Jr., in honor of Douglas Dillon
Gift of John M. Schiff, in memory of Edith Baker Schiff
Gift of John Stewart Kennedy
Gift of John Taylor Johnston
Gift of John and Evelyn Kossak, The Kronos Collections, in honor of Martin Lerner
Gift of Josef Albers
Gift of Joseph V. McMullan
Gift of Julia A. Berwind
Gift of Julia B. Henry
Gift of Justine VR. Milliken
Gift of Kenneth O. Smith
Gift of Kimberly Knitwear Inc.
Gift of Korean Cultural Service
Gift of Laura White and Fred Randolph
Gift of Lee Krasner Pollock, in memory of Jackson Pollock
Gift of Lester Wunderman
Gift of Lila Acheson Wallace
Gift of Lillian Nassau
Gift of Lincoln Kirstein
Gift of Lisa and Jody Greene, in memory of their loving mother, Mrs. Ethel S. Greene
Gift of Lois and Anthony Blumka, in memory of Victoria Blumka
Gift of Louis Vuitton
Gift of Lucille S. Pfeffer
Gift of Léon Bing and Oreste F. Pucciani
Gift of Madame Madeleine Vionnet
Gift of Marilyn Walter Grounds
Gift of Martin F. Price
Gift of Martin and Sarah Cherkasky
Gift of Mary Pierrepont Beckwith
Gift of Maude B. Feld and Samuel B. Feld
Gift of Miguel Adrover
Gift of Mireille Levy
Gift of Miss Isabel Shults
Gift of Miss Marion Hague
Gift of Morris J. Pinto
Gift of Mr. Claggett Wilson
Gift of Mr. and Mrs. Charles Wrightsman
Gift of Mr. and Mrs. Charles Wrightsman, in honor of Sir John Pope-Hennessy
Gift of Mr. and Mrs. Charles Wrightsman, in memory of Theodore Rousseau Jr.
Gift of Mr. and Mrs. Douglass Campbell, in memory of Mrs. Richard E. Danielson
Gift of Mr. and Mrs. Hugh J. Grant
Gift of Mr. and Mrs. J. J. Klejman
Gift of Mr. and Mrs. Jack A. Josephson
Gift of Mr. and Mrs. Klaus G. Perls
Gift of Mr. and Mrs. Lester Wolfe
Gift of Mr. and Mrs. Maxime L. Hermanos
Gift of Mr. and Mrs. Paul T. Nomura, in memory of Mr. and Mrs. S. Morris Nomura
Gift of Mr. and Mrs. Robert Andrews Izard
Gift of Mr. and Mrs. Samuel Shore
Gift of Mr. and Mrs. V. Everit Macy
Gift of Mrs. Adam Gimbel
Gift of Mrs. Byron C. Foy
Gift of Mrs. C. Phillip Miller
Gift of Mrs. Carter Marshall Braxton
Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard
Gift of Mrs. Charles Wrightsman
Gift of Mrs. Charles Wrightsman, in honor of Philippe de Montebello
Gift of Mrs. Claus von Bülow
Gift of Mrs. Clyfford Still
Gift of Mrs. David J. Colton
Gift of Mrs. David Kluger
Gift of Mrs. Douglas M. Moffat
Gift of Mrs. Edwin Stewart Wheeler
Gift of Mrs. Emily Winthrop Miles
Gift of Mrs. Florence Blumenthal
Gift of Mrs. Frances V. Nash
Gift of Mrs. Frank B. Porter
Gift of Mrs. Harold H. Krechmer, in memory of her husband, Harold H. Krechmer
Gift of Mrs. Harrison Williams, Lady Mendl, and Mrs. Ector Munn
Gift of Mrs. Henry McSweeney
Gift of Mrs. J. Insley Blair
Gift of Mrs. J. Randall Creel
Gift of Mrs. James G. Flockhart
Gift of Mrs. James Sullivan, in memory of Mrs. Luman Reed
Gift of Mrs. John C. Newington
Gift of Mrs. John Chambers Hughes
Gift of Mrs. John Hubbard and Egypt Exploration Society
Gift of Mrs. Leon L. Roos
Gift of Mrs. Leonard Holzer
Gift of Mrs. Philip K. Rhinelander
Gift of Mrs. Robert W. de Forest
Gift of Mrs. Russell Sage
Gift of Mrs. Russell Sage and various other donors, by exchange
Gift of Mrs. Saidie Adler May
Gift of Mrs. Schuyler Van Rensselaer
Gift of Mrs. Solomon R. Guggenheim
Gift of Mrs. W.G. Constable
Gift of Mrs. William Rand
Gift of Mrs. Winthrop Atwill
Gift of Mrs. Wolcott Blair
Gift of Nettie Rosenstein
Gift of Norbert Schimmel
Gift of Norbert Schimmel Trust
Gift of Paul J. Sachs
Gift of Paul and Ruth W. Tishman
Gift of Philip S. P. and Elisabeth W. Fell
Gift of Phyllis D. Massar
Gift of Priscilla de Forest Williams
Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson
Gift of Ralph T. Coe
Gift of Raymond E. Britt Sr.
Gift of Raymonde Paul, in memory of her brother, C. Michael Paul, and Purchase, Lila Acheson Wallace Gift
Gift of Renée E. and Robert A. Belfer
Gift of Richard Martin
Gift of Robert Gordon
Gift of Robert W. and Lockwood De Forest
Gift of Robert and Sarah W. Miller, in honor of Lee Krasner
Gift of Rolf Jacoby
Gift of Rudolf M. Riefstahl
Gift of Ruth Blumka
Gift of Ruth Blumka, in memory of Leopold Blumka
Gift of Sally M. Avery
Gift of Salvatore Ferragamo
Gift of Samuel H. Kress Foundation
Gift of Samuel P. Avery
Gift of Samuel P. Avery Jr.
Gift of Sheldon and Barbara Breitbart
Gift of Stephen V. Grancsay
Gift of Stephen and Nan Swid
Gift of Steven Landsberg
Gift of Steven and Alexandra Cohen, and Purchase, Lila Acheson Wallace Gift, Bequest of Gioconda King, by exchange, Anonymous Gift and Gift of Sylvia de Cuevas, by exchange, Janet Lee Kadesky Ruttenberg Fund, in memory of William S. Lieberman, Mayer Fund, Norman M. Leff Bequest, and George A. Hearn and Kathryn E. Hurd Funds
Gift of Susan Dwight Bliss
Gift of Sylvan Barnet and William Burto
Gift of Sylvester Dering
Gift of Takuo Itoh
Gift of The American Society for the Excavation of Sardis
Gift of The Bradford & Dorothea Endicott Foundation
Gift of The Egyptian Research Account and British School of Archaeology in Egypt
Gift of The Frederick W. Richmond Foundation, Judy and Michael Steinhardt, and Mr. and Mrs. A. Alfred Taubman. The cleaning and restoration of this sculpture was made possible by a generous grant from the Edward John Noble Foundation, Inc
Gift of The Hagop Kevorkian Fund
Gift of The Hearst Foundation
Gift of The Institute of Archaeology, The University of London
Gift of The Mark Rothko Foundation Inc.
Gift of The Reverend E. L. Magoon, D.D.
Gift of The University Museum, University of Pennsylvania
Gift of Theodore M. Davis
Gift of Thomas F. Ryan
Gift of Thomas Kensett
Gift of Thomas L. Kempner
Gift of Timothy, Peter, and Jonathan Zorach
Gift of Tracey Blumenreich Zabar
Gift of University of Virginia Drama Department
Gift of Vivienne Westwood
Gift of Walter Hauser
Gift of Wilfrid Wood
Gift of William B. Osgood Field
Gift of William Backhouse Astor
Gift of William Church Osborn
Gift of William Cullen Bryant
Gift of William H. Riggs
Gift of Yeohlee Teng
Gift of a group of Museum trustees
Gift of the Dept. of Twentieth Century Art
Gift of the Duchess of Windsor
Gift of the Senate House Association, Kingston, N.Y.
Gift of the Todes Family
Gift of the artist
Gift of the daughters of William H. Fulper III, in honor of their grandfather, William H. Fulper II
Gift of the family of Angelo Mannello
Gift of the family of Maria L. Hoyt
Gilman Collection, Purchase, Joyce F. Menschel Gift
Gilman Collection, Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel
Given to the United States by Egypt in 1965, awarded to The Metropolitan Museum of Art in 1967, and installed in The Sackler Wing in 1978
Gustavus A. Pfeiffer Fund
H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer
H. O. Havemeyer Collection, Gift of Horace Havemeyer
Harris Brisbane Dick Fund
Harris Brisbane Dick Fund and Fletcher Fund, 1998; Purchase, Lila Acheson Wallace Gift, Dodge Fund, and Rogers Fund
Henry G. Leberthon Collection, Gift of Mr. and Mrs. A. Wallace Chauncey
Hewitt Fund
Hugo Kastor Fund
In honor of Ralph F. Colin, Gift of his wife Georgia Talmey Colin
In memory of George Wittenborn Bookseller
Isabel Shults Fund
Jacques and Natasha Gelman Collection
Jan Mitchell and Sons Collection, Gift of Jan Mitchell
Jane E. Andrews Fund, in memory of her husband, William Loring Andrews
John C. Waddell Collection, Gift of John C. Waddell
John M. Crawford Jr. Collection, Purchase, Douglas Dillon Gift
John Stewart Kennedy Fund
Joseph H. Hazen Foundation Purchase Fund, in honor of Cynthia Hazen Polsky
Library Purchase
Louis E. and Theresa S. Seley Purchase Fund for Islamic Art and Rogers Fund
Louis V. Bell Fund
Marguerite and Frank A. Cosgrove Jr. Fund
Maria DeWitt Jesup Fund
Marquand Collection, Gift of Henry G. Marquand
Marquand Fund
Morris K. Jesup Fund
Mr. and Mrs. Isaac D. Fletcher Collection, Bequest of Isaac D. Fletcher
Munsey Fund
Museum Purchase
Partial and Promised Gift of Ann M. and Thomas W. Barwick, and  Purchase, Ann M. and Thomas W. Barwick Gift
Partial and Promised Gift of Mr. and Mrs. Douglas Dillon
Partial and Promised Gift of Mr. and Mrs. Mark Fisch
Presented by Alice M. Dike
Presented by Amy Ogden Welcher and Emma Avery Welcher
Presented by Bobby and Allan Weissglass
Presented by Charles Lanier
Presented by Emma Avery Welcher and Amy Ogden Welcher
Presented by Emma Avery Welcher, Amy Ogden Welcher and Alice Lee (Mrs. C. Telford) Erickson. (Avery's granddaughters)
Presented by General L. P. di Cesnola
Presented by J. Pierpont Morgan
Presented by James H. Hyde
Presented by James Maroney in friendship for H. Barbara Weinberg
Presented by John Taylor Johnston
Presented by Mr. S.P. Avery
Presented by Mr. Theodore M. Davis
Presented by Mr. William L. Andrews
Presented by Mr. and Mrs. Edward Dean Adams
Presented by Mrs. John C. McVoy
Presented by Mrs. S. P. Avery
Presented by Samuel P. Avery
Presented in memory of Daniel W. Langton, Landscape Architect, by Mrs. Langton
Promised Gift of Leon D. and Debra R. Black, and Purchase, Harris Brisbane Dick Fund
Promised Gift of Leon D. and Debra R. Black, and Purchase, Lila Acheson Wallace Gift and 2007 Benefit Fund
Promised Gift of Robert A. Ellison Jr.
Purchase
Purchase, 2005 Benefit Fund, Rogers Fund, Audrey Love Charitable Foundation Gift, and Gifts of J. Pierpont Morgan and George Blumenthal and Fletcher Fund, by exchange
Purchase, 2013 Benefit Fund
Purchase, Acquisitions Fund and Annette and Oscar de la Renta Gift
Purchase, Acquisitions Fund, The Jaharis Family Foundation Inc. Gift, Philippe de Montebello Fund, Philodoroi and Renée E. and Robert A. Belfer Gifts, The Bothmer Purchase Fund, and Mr. and Mrs. John A. Moran, Nicholas S. Zoullas, Patricia and Marietta Fried, Jeannette and Jonathan Rosen, Aso O. Tavitian, Leon Levy Foundation and Barbara and Donald Tober Gifts
Purchase, Alastair B. Martin, William Kelly Simpson, Scher Chemicals Inc., Levy Hermanos Foundation Inc., Shelby White, and Max Falk Gifts, in honor of Katharine R. Brown
Purchase, Alfred Stieglitz Society Gifts
Purchase, Amati Gifts
Purchase, Anna-Maria and Stephen Kellen Foundation Gift in memory of Stephen M. Kellen
Purchase, Anne and John V. Hansen Egyptian Purchase Fund, and Magda Saleh and Jack Josephson Gift
Purchase, Anonymous Gift
Purchase, Anonymous Gift and Rogers Fund
Purchase, Anonymous Gift, Cynthia Hazen Polsky Gift, Virginia G. LeCount Bequest, in memory of The LeCount Family, 2007 Benefit Fund, Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest, and Gift of Dr. Mortimer D. Sackler, Theresa Sackler and Family  
Purchase, Arlene Cooper Fund and Polaire Weissman Bequest Fund
Purchase, Armand Hammer, Occidental Petroleum Corporation Gift
Purchase, Arthur Hoppock Hearn Fund, George A. Hearn Fund and Lila Acheson Wallace Gift
Purchase, Arthur M. Bullowa Bequest and Rogers Fund
Purchase, Arthur M. Sackler Gift
Purchase, Arthur Ochs Sulzberger and Mr. and Mrs. Robert G. Goelet Gifts
Purchase, Barbara Kahn Gift, in memory of Richard S. Kahn
Purchase, Barrie A. and Deedee Wigmore Foundation Gift
Purchase, Bequest of Charles Allen Munn, by exchange
Purchase, Bequest of Gioconda King, by exchange, and The Louis S. and Mary Myers Foundation Gift
Purchase, Bequest of Helen W. D. Mileham, by exchange, Wendy Findlay Gift, and funds from various donors
Purchase, Bequest of Miss Adelaide Milton de Groot (18761967), by exchange, and Dr. and Mrs. Manuel Porter and sons Gift, in honor of Mrs. Sarah Porter
Purchase, Bequest of Olive Huber, by exchange, and Brian and Anne Marie Todes Gift
Purchase, Bequest of Thelma Williams Gill, by exchange
Purchase, Bequest of Thomas W. Lamont, by exchange
Purchase, Buckeye Trust and Charles B. Benenson Gifts, Rogers Fund and funds from various donors
Purchase, Buckeye Trust and Mr. and Mrs. Milton F. Rosenthal Gifts, Joseph Pulitzer Bequest and Harris Brisbane Dick and Rogers Funds
Purchase, Carl Selden Trust, several members of The Chairman's Council, Gail and Parker Gilbert, and Lila Acheson Wallace Gifts
Purchase, Charlene and David Howe, Henry Nias Foundation Inc., Jennifer Saul, Robert Yaffa, Harriet Ames Charitable Trust, and Gary and Sarah Wolkowitz Gifts
Purchase, Clara Mertens Bequest, in memory of André Mertens
Purchase, Clara Mertens Bequest, in memory of André Mertens, Seymour Fund, The Boston Foundation Gift, Gift of Elizabeth M. Riley, by exchange, and funds from various donors
Purchase, Clara Mertens Bequest, in memory of André Mertens, and The Vincent Astor Foundation Gift
Purchase, Cynthia Hazen Polsky and Leon B. Polsky Fund and The Annenberg Foundation Gift
Purchase, David T. Schiff Gift
Purchase, David T. Schiff Gift and Harris Brisbane Dick Fund
Purchase, David T. Schiff, Lila Acheson Wallace, Harriette and Noel Levine, and Nancy and Edwin Marks Gifts
Purchase, Dodge Fund, Dale T. Johnson Fund, and The Douglass Foundation, The Overbrook Foundation, Mr. and Mrs. Max N. Berry, Barbara G. Fleischman, Mrs. Daniel Fraad, Mr. and Mrs. Peter Lunder, Mr. and Mrs. Frank Martucci, and Erving and Joyce Wolf Gifts
Purchase, Edith Perry Chapman Fund and Malcolm Hewitt Wiener Foundation Inc. Gift
Purchase, Edward C. Moore Jr. Gift
Purchase, Edward S. Harkness Gift
Purchase, Elizabeth S. Ettinghausen Gift, in memory of Richard Ettinghausen; and Stephenson Family Foundation Gift
Purchase, Emily Crane Chadbourne Bequest
Purchase, Erving Wolf Foundation Gift and Gift of Hanson K. Corning, by exchange
Purchase, Estate of George Strichman and Sandra Strichman Gifts; Bequest of Vera Ruth Miller, in memory of her father, Henry Miller, Bequest of Josephine N. Hopper, John Stewart Kennedy Fund, and Gifts of Yvonne Moën Cumerford, Berry B. Tracy, and Mr. and Mrs. Jeremiah Milbank, by exchange; Mr. and Mrs. Leonard L. Milberg Gift, and funds from various donors
Purchase, European Sculpture and Decorative Arts Fund, and Lila Acheson Wallace, Mr. and Mrs. Mark Fisch, and Mr. and Mrs. Frank E. Richardson Gifts
Purchase, Fletcher Fund and Joseph E. Hotung and Michael and Danielle Rosenberg Gifts
Purchase, Fletcher Fund and The Guide Foundation Inc. 
Purchase, Fletcher Fund and The Guide Foundation Inc. Gift
Purchase, Fletcher Fund, Joyce F. Menschel Gift, Louis V. Bell Fund, Alfred Stieglitz Society and W. Bruce and Delaney H. Lundberg Gifts
Purchase, Fletcher and Rogers Funds, and Bequest of Miss Adelaide Milton de Groot (18761967), by exchange, supplemented by gifts from friends of the Museum
Purchase, Fletcher, Louis V. Bell, and Rogers Funds, and The Tokyo Shimbun and Friends of Inanna Gifts
Purchase, Francis M. Weld Gift
Purchase, Fred M. and Rita Richman, Noah-Sadie K. Wachtel Foundation Inc., David and Holly Ross, Doreen and Gilbert Bassin Family Foundation and William B. Goldstein Gifts
Purchase, Fred and Rita Richman Gift and Rogers Fund
Purchase, Fred and Rita Richman Gift, in memory of Douglas Newton
Purchase, Frederick M. Lehman Bequest
Purchase, Friends of Islamic Art Gifts
Purchase, Friends of Twentieth Century Decorative Arts Gifts, by exchange
Purchase, Friends of the American Wing Fund and Geoffrey N. Bradfield Gift
Purchase, Friends of the American Wing Fund and Lila Acheson Wallace Gift
Purchase, Friends of the American Wing Fund and Mr. and Mrs. Mark Willcox Jr. Gift
Purchase, Friends of the American Wing Fund, Anonymous Gift, George M. Kaufman Gift, Sansbury- Mills Fund; Gifts of the Members of the Committee of the Bertha King Benkard Memorial Fund, Mrs. Russell Sage, Mrs. Frederick Wildman, F. Ethel Wickham, Edgar William and Bernice Chrysler Garbisch, and Mrs. F. M. Townsend, by exchange; and John Stewart Kennedy Fund and Bequests of Martha S. Tiedeman and W. Gedney Beatty, by exchange
Purchase, George A. Hearn Fund, Arthur Hoppock Hearn Fund, and Hearn Funds, Bequest of Charles F. Iklé, and Gifts of Mrs. Carroll J. Post and Mrs. George S. Amory, by exchange
Purchase, Gift in memory of Manuel Schnitzer
Purchase, Gift in memory of Manuel Schnitzer and Lila Acheson Wallace Gift
Purchase, Gift of Edward S. Harkness
Purchase, Gift of Elizabeth M. Riley, by exchange
Purchase, Gift of Halston, by exchange, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, and Pfeiffer Fund
Purchase, Gift of Hon. and Mrs. Peter I. B. Lavan, by exchange
Purchase, Gift of J. Pierpont Morgan, by exchange
Purchase, Gift of James A. Moffett 2nd, in memory of George M. Moffett, by exchange
Purchase, Gift of Mary V.T. Eberstadt and Bequest of Gertrude Moira Flanagan, by exchange
Purchase, Gift of Mr. and Mrs. Robert P. Freedman, by exchange
Purchase, Gift of Mrs. Nelson Doubleday and Bequest of Charles R. Gerth, by exchange
Purchase, Gift of William E. Dodge, by exchange, and Lila Acheson  Wallace Gift
Purchase, Gift of William Nelson and Gift of Misses Alice and Evelyn Blight and Mrs. William Payne Thompson, by exchange
Purchase, Gifts in memory of Elizabeth N. Lawrence
Purchase, Gifts in memory of Richard Ettinghausen; Schimmel Foundation Inc., Ehsan Yarshater, Karekin Beshir Ltd., Margaret Mushekian, Mr. and Mrs. Edward Ablat and Mr. and Mrs. Jerome A. Straka Gifts; The Friends of the Islamic Department Fund; Gifts of Mrs. A. Lincoln Scott and George Blumenthal, Bequests of Florence L. Goldmark, Charles R. Gerth and Millie Bruhl Frederick, and funds from various donors, by exchange; Louis E. and Theresa S. Seley Purchase Fund for Islamic Art and Rogers Fund
Purchase, Gifts of Irwin Untermyer, Ogden Mills and George Blumenthal, Bequest of Julia H. Manges and Frederick C. Hewitt Fund, by exchange; and Rogers and Pfeiffer Funds
Purchase, Gifts of Mr. and Mrs. Nate B. Spingold and Nathan Cummings, Rogers Fund and The Alfred N. Punnett Endowment Fund, by exchange, and Harris Brisbane Dick Fund
